ID_Encuestado,Pais,Ronda,Genero,Anio_Nacimiento,Nivel_Educativo,Situacion_Economica,Voluntariado_12m,Donacion_Politica_12m,Capacidad_Rol_Politico,Confianza_ONU,Preocupacion_Clima,Responsabilidad_Clima,Inmigracion_Economia,Inmigracion_Cultura,Inmigracion_Pais_Mejor_Peor
27.0,AT,9,Hombre,1975.0,Secundaria alta (baja),Difícil,,,Poco capaz,5,,,5,6,0
137.0,AT,9,Hombre,1951.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,2,,,5,4,5
194.0,AT,9,Mujer,1978.0,Secundaria baja,Cómodamente,,,Nada capaz,5,,,6,6,5
208.0,AT,9,Hombre,1955.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,2,,,3,7,5
220.0,AT,9,Mujer,1947.0,Secundaria baja,Saliendo adelante,,,Nada capaz,5,,,5,3,5
254.0,AT,9,Hombre,1954.0,Secundaria alta (baja),Cómodamente,,,Poco capaz,6,,,6,7,5
290.0,AT,9,Hombre,1962.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,0,,,6,4,5
301.0,AT,9,Mujer,1944.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,5,,,2,2,2
305.0,AT,9,Hombre,1981.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,1,,,0,0,0
400.0,AT,9,Mujer,1996.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,5,,,7,7,5
413.0,AT,9,Hombre,1970.0,Secundaria alta (baja),Cómodamente,,,Completamente capaz,10,,,10,10,10
438.0,AT,9,Mujer,1959.0,Secundaria alta (alta),Cómodamente,,,Bastante capaz,8,,,6,8,5
459.0,AT,9,Hombre,1941.0,Secundaria alta (baja),Saliendo adelante,,,Bastante capaz,8,,,3,3,4
472.0,AT,9,Mujer,1977.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,10,,,0,5,3
586.0,AT,9,Hombre,1956.0,Secundaria alta (baja),Cómodamente,,,Bastante capaz,8,,,6,5,5
592.0,AT,9,Hombre,1991.0,Secundaria alta (alta),Saliendo adelante,,,Completamente capaz,7,,,7,8,7
614.0,AT,9,Hombre,1959.0,Secundaria alta (baja),Saliendo adelante,,,Bastante capaz,4,,,9,3,5
651.0,AT,9,Mujer,1958.0,Secundaria alta (baja),Cómodamente,,,Poco capaz,3,,,4,2,
687.0,AT,9,Hombre,1969.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,8,,,2,3,2
703.0,AT,9,Hombre,1976.0,Grado/BA,Saliendo adelante,,,Poco capaz,6,,,3,5,0
722.0,AT,9,Hombre,1959.0,Secundaria alta (alta),Cómodamente,,,Bastante capaz,7,,,5,7,2
815.0,AT,9,Hombre,1968.0,Secundaria baja,Saliendo adelante,,,Nada capaz,5,,,5,4,7
890.0,AT,9,Mujer,1975.0,Vocacional avanzado,Difícil,,,Poco capaz,10,,,,2,2
912.0,AT,9,Mujer,1988.0,Secundaria alta (baja),Saliendo adelante,,,,,,,,5,4
915.0,AT,9,Hombre,1959.0,Secundaria alta (baja),Cómodamente,,,Bastante capaz,5,,,7,7,6
919.0,AT,9,Hombre,1999.0,Secundaria alta (baja),Difícil,,,Bastante capaz,6,,,8,8,6
932.0,AT,9,Mujer,1948.0,Máster/Doctorado,Muy difícil,,,Bastante capaz,2,,,5,4,4
950.0,AT,9,Hombre,1948.0,Vocacional avanzado,Cómodamente,,,Bastante capaz,5,,,3,3,2
976.0,AT,9,Hombre,1972.0,Vocacional avanzado,Difícil,,,Nada capaz,0,,,0,5,0
1005.0,AT,9,Hombre,1983.0,Máster/Doctorado,Cómodamente,,,Bastante capaz,3,,,6,4,5
1037.0,AT,9,Hombre,1982.0,Secundaria alta (baja),Cómodamente,,,Muy capaz,0,,,10,10,10
